"","Study_site","file","Study_Name","Site_Name","Observational","Latitude__decimal_degrees","Longitude__Decimal_Degrees","Altitude__m","Country","Sample_StartDate_Month","Sample_StartDate_Year","Sample_EndDate_Month","Sample_EndDate_Year","ExtractionMethod","Sampled_Area","Sampled_Area_Unit","Sample_Effort","PH","PH_Collection_Method","Organic_Carbon__percent","Soil_Organic_Matter__percent","C.N_ratio","Sand__percent","Silt__percent","Clay__percent","Soil_Moisture_percent","Water_Holding_Capacity_percent__versus_dry_weight","SoilType","LandUse","HabitatCover","SpeciesRichness","SpeciesRichnessUnit","Habitat_as_described","Site_WetBiomass","Site_WetBiomassUnits","NumberofSpecies","Site_NumberofIndividuals","ph_new"
"527","France-Bouché Bou-1440","000_Guernion2014","France-Bouché","Bou-1440","Observation",48.06,5.478,388,"France",5,1969,5,1969,"Hand sorting",300000,"cm3",1,6.1,"H20",NA,5.8,NA,28.3,33,33,NA,NA,NA,"Pasture","Herbaceous",6,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,6.1
"528","France-Bouché Bou-1442","000_Guernion2014","France-Bouché","Bou-1442","Observation",42.516,2.103,1652,"France",7,1969,7,1969,"Hand sorting",300000,"cm3",1,5.1,"H20",NA,4.7,NA,85.8,4.8,4.8,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Meadow",NA,NA,5,NA,5.1
"529","France-Bouché Bou-1443","000_Guernion2014","France-Bouché","Bou-1443","Observation",42.732,2.094,956,"France",7,1969,7,1969,"Hand sorting",300000,"cm3",1,5.5,"H20",NA,4.4,NA,86,4.8,4.8,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",6,"Number of species","Forest and seminatural areas Forest",NA,NA,6,NA,5.5
"530","France-Bouché Bou-1444","000_Guernion2014","France-Bouché","Bou-1444","Observation",42.795,1.923,1242,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,6.6,"H20",NA,3.5,NA,62.7,24.1,9.6,NA,NA,NA,"Pasture","Herbaceous",3,"Number of species","Agricultural areas Meadow",NA,NA,4,NA,6.6
"531","France-Bouché Bou-1445","000_Guernion2014","France-Bouché","Bou-1445","Observation",42.993,1.248,459,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,5.6,"H20",NA,2.9,NA,38.9,38.9,19.4,NA,NA,NA,"Pasture","Herbaceous",10,"Number of species","Agricultural areas Meadow",NA,NA,11,NA,5.6
"532","France-Bouché Bou-1446","000_Guernion2014","France-Bouché","Bou-1446","Observation",42.948,0.852,1172,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,6.9,"H20",NA,7.1,NA,37.2,37.2,18.6,NA,NA,NA,"Unknown","Unknown/Other",5,"Number of species","Forest and seminatural areas Waste land",NA,NA,6,NA,6.9
"533","France-Bouché Bou-1447","000_Guernion2014","France-Bouché","Bou-1447","Observation",42.831,0.609,737,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,5.8,"H20",NA,3.3,NA,29,33.8,33.8,NA,NA,NA,"Pasture","Herbaceous",9,"Number of species","Agricultural areas Meadow",NA,NA,10,NA,5.8
"534","France-Bouché Bou-1448","000_Guernion2014","France-Bouché","Bou-1448","Observation",42.804,0.438,1531,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,6.2,"H20",NA,3.2,NA,77.4,9.7,9.7,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Mountain pasture",NA,NA,5,NA,6.2
"535","France-Bouché Bou-1449","000_Guernion2014","France-Bouché","Bou-1449","Observation",42.894,0.357,757,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,7.1,"H20",NA,2.5,NA,78,9.8,9.8,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,4,NA,7.1
"536","France-Bouché Bou-145","000_Guernion2014","France-Bouché","Bou-145","Observation",44.676,5.073,414,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,8.2,"H20",NA,2.1,NA,49,9.8,39.2,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",2,"Number of species","Forest and seminatural areas Wood",NA,NA,3,NA,8.2
"537","France-Bouché Bou-1450","000_Guernion2014","France-Bouché","Bou-1450","Observation",42.948,0.321,1563,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,4.9,"H20",NA,7.6,NA,37,37,18.5,NA,NA,NA,"Pasture","Herbaceous",7,"Number of species","Agricultural areas Mountain pasture",NA,NA,7,NA,4.9
"538","France-Bouché Bou-1451","000_Guernion2014","France-Bouché","Bou-1451","Observation",43.056,0.14,685,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,6.6,"H20",NA,4,NA,76.8,9.6,9.6,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Mountain pasture",NA,NA,5,NA,6.6
"539","France-Bouché Bou-1452","000_Guernion2014","France-Bouché","Bou-1452","Observation",42.714,-0.04,2032,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,6.2,"H20",NA,9.2,NA,72.6,9.1,9.1,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Mountain pasture",NA,NA,5,NA,6.2
"540","France-Bouché Bou-1453","000_Guernion2014","France-Bouché","Bou-1453","Observation",42.705,-0.049,2195,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,4.8,"H20",NA,5.2,NA,75.9,9.5,9.5,NA,NA,NA,"Pasture","Herbaceous",1,"Number of species","Agricultural areas Mountain pasture",NA,NA,2,NA,4.8
"541","France-Bouché Bou-1454","000_Guernion2014","France-Bouché","Bou-1454","Observation",42.723,-0.022,1956,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,5.5,"H20",NA,4.1,NA,76.7,9.6,9.6,NA,NA,NA,"Pasture","Herbaceous",3,"Number of species","Agricultural areas Mountain pasture",NA,NA,4,NA,5.5
"542","France-Bouché Bou-1455","000_Guernion2014","France-Bouché","Bou-1455","Observation",42.975,-0.337,1690,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,4.9,"H20",NA,4.2,NA,4.8,47.9,43.1,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Mountain pasture",NA,NA,4,NA,4.9
"543","France-Bouché Bou-1456","000_Guernion2014","France-Bouché","Bou-1456","Observation",43.038,-0.427,466,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,7.2,"H20",NA,2.8,NA,87.5,4.9,4.9,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",6,"Number of species","Forest and seminatural areas Wood",NA,NA,7,NA,7.2
"544","France-Bouché Bou-1457","000_Guernion2014","France-Bouché","Bou-1457","Observation",43.101,-0.184,382,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,5.3,"H20",NA,2.7,NA,4.9,48.6,43.8,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,9,NA,5.3
"545","France-Bouché Bou-1457","000_Guernion2014","France-Bouché","Bou-1457","Observation",43.101,-0.184,382,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,4.8,"H20",NA,4.3,NA,4.8,47.9,43.1,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",4,"Number of species","Forest and seminatural areas Forest",NA,NA,9,NA,4.8
"546","France-Bouché Bou-1459","000_Guernion2014","France-Bouché","Bou-1459","Observation",43.344,-0.526,225,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,5,"H20",NA,2.8,NA,29.2,34,34,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,5,NA,5
"547","France-Bouché Bou-146","000_Guernion2014","France-Bouché","Bou-146","Observation",43.857,5.019,66,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.4,"H20",NA,1.4,NA,88.7,4.9,4.9,NA,NA,NA,"Unknown","Unknown/Other",4,"Number of species","Artificial surfaces organic heap",NA,NA,4,NA,7.4
"548","France-Bouché Bou-1460","000_Guernion2014","France-Bouché","Bou-1460","Observation",43.101,-0.634,652,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,7.1,"H20",NA,2,NA,88.2,4.9,4.9,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,4,NA,7.1
"549","France-Bouché Bou-1461","000_Guernion2014","France-Bouché","Bou-1461","Observation",42.876,-0.562,755,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,6.1,"H20",NA,3.8,NA,62.6,24.1,9.6,NA,NA,NA,"Unknown","Unknown/Other",5,"Number of species","Forest and seminatural areas Waste land",NA,NA,6,NA,6.1
"550","France-Bouché Bou-1462","000_Guernion2014","France-Bouché","Bou-1462","Observation",43.146,-0.877,235,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,6,"H20",NA,3.4,NA,29,33.8,33.8,NA,NA,NA,"Pasture","Herbaceous",8,"Number of species","Agricultural areas Meadow",NA,NA,9,NA,6
"551","France-Bouché Bou-1464","000_Guernion2014","France-Bouché","Bou-1464","Observation",43.65,-1.39,12,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,5,"H20",NA,8.3,NA,82.5,4.6,4.6,NA,NA,NA,"Pasture","Herbaceous",2,"Number of species","Agricultural areas Meadow",NA,NA,2,NA,5
"552","France-Bouché Bou-1465","000_Guernion2014","France-Bouché","Bou-1465","Observation",44.46,-0.373,35,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,7,"H20",NA,4,NA,86.4,4.8,4.8,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,5,NA,7
"553","France-Bouché Bou-1466","000_Guernion2014","France-Bouché","Bou-1466","Observation",47.871,1.697,99,"France",8,1969,8,1969,"Hand sorting",300000,"cm3",1,7.2,"H20",NA,6.1,NA,61,23.5,9.4,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",5,"Number of species","Forest and seminatural areas Wood",NA,NA,6,NA,7.2
"554","France-Bouché Bou-148","000_Guernion2014","France-Bouché","Bou-148","Observation",43.587,5.478,331,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,8.1,"H20",NA,1.2,NA,39.5,39.5,19.8,NA,NA,NA,"Unknown","Unknown/Other",6,"Number of species","Artificial surfaces ditch",NA,NA,7,NA,8.1
"555","France-Bouché Bou-1482","000_Guernion2014","France-Bouché","Bou-1482","Observation",44.28,3.228,469,"France",6,1969,6,1969,"Hand sorting",300000,"cm3",1,7.5,"H20",NA,1.7,NA,39.3,39.3,19.7,NA,NA,NA,"Production - Arable","Cropland",1,"Number of species","Agricultural areas Crop",NA,NA,1,NA,7.5
"556","France-Bouché Bou-1483","000_Guernion2014","France-Bouché","Bou-1483","Observation",45.081,2.751,1254,"France",6,1969,6,1969,"Hand sorting",300000,"cm3",1,4.1,"H20",NA,9.3,NA,59,22.7,9.1,NA,NA,NA,"Unknown","Unknown/Other",2,"Number of species","Forest and seminatural areas Waste land",NA,NA,2,NA,4.1
"557","France-Bouché Bou-1484","000_Guernion2014","France-Bouché","Bou-1484","Observation",47.853,2.814,116,"France",6,1969,6,1969,"Hand sorting",300000,"cm3",1,5,"H20",NA,3.8,NA,62.6,24.1,9.6,NA,NA,NA,"Pasture","Herbaceous",1,"Number of species","Agricultural areas Meadow",NA,NA,1,NA,5
"558","France-Bouché Bou-149","000_Guernion2014","France-Bouché","Bou-149","Observation",43.56,5.469,303,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,3.4,NA,38.6,38.6,19.3,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,4,NA,7.8
"559","France-Bouché Bou-150","000_Guernion2014","France-Bouché","Bou-150","Observation",43.38,5.694,243,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.9,"H20",NA,1.9,NA,78.5,9.8,9.8,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,7.9
"560","France-Bouché Bou-152","000_Guernion2014","France-Bouché","Bou-152","Observation",43.533,6.936,12,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7,"H20",NA,1.4,NA,49.3,9.9,39.4,NA,NA,NA,"Pasture","Herbaceous",6,"Number of species","Agricultural areas Meadow",NA,NA,7,NA,7
"561","France-Bouché Bou-155","000_Guernion2014","France-Bouché","Bou-155","Observation",43.623,6.972,123,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,8,"H20",NA,3.6,NA,38.6,38.6,19.3,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",1,"Number of species","Forest and seminatural areas Wood",NA,NA,1,NA,8
"562","France-Bouché Bou-156","000_Guernion2014","France-Bouché","Bou-156","Observation",43.623,6.972,123,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.7,"H20",NA,3.9,NA,38.4,38.4,19.2,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,7.7
"563","France-Bouché Bou-157","000_Guernion2014","France-Bouché","Bou-157","Observation",43.623,6.972,123,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,8.1,"H20",NA,1.6,NA,39.4,39.4,19.7,NA,NA,NA,"Pasture","Herbaceous",2,"Number of species","Agricultural areas Meadow",NA,NA,3,NA,8.1
"564","France-Bouché Bou-158","000_Guernion2014","France-Bouché","Bou-158","Observation",44.001,6.99,582,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.6,"H20",NA,6.5,NA,4.7,46.8,42.1,NA,NA,NA,"Secondary vegetation","Herbaceous",1,"Number of species","Forest and seminatural areas Grassland",NA,NA,1,NA,7.6
"565","France-Bouché Bou-159","000_Guernion2014","France-Bouché","Bou-159","Observation",44.082,6.954,1576,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7,"H20",NA,11.6,NA,35.4,35.4,17.7,NA,NA,NA,"Pasture","Herbaceous",2,"Number of species","Agricultural areas Meadow",NA,NA,2,NA,7
"566","France-Bouché Bou-160","000_Guernion2014","France-Bouché","Bou-160","Observation",44.262,6.747,2279,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,6.5,"H20",NA,11,NA,57.8,22.2,8.9,NA,NA,NA,"Secondary vegetation","Herbaceous",2,"Number of species","Forest and seminatural areas Grassland",NA,NA,2,NA,6.5
"567","France-Bouché Bou-161","000_Guernion2014","France-Bouché","Bou-161","Observation",44.388,6.576,1167,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,4.3,NA,28.7,33.5,33.5,NA,NA,NA,"Pasture","Herbaceous",3,"Number of species","Agricultural areas Meadow",NA,NA,3,NA,7.8
"568","France-Bouché Bou-162","000_Guernion2014","France-Bouché","Bou-162","Observation",44.496,6.045,700,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.9,"H20",NA,1.9,NA,4.9,49,44.1,NA,NA,NA,"Pasture","Herbaceous",2,"Number of species","Agricultural areas Meadow",NA,NA,2,NA,7.9
"569","France-Bouché Bou-163","000_Guernion2014","France-Bouché","Bou-163","Observation",45.342,5.613,263,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,8.1,"H20",NA,3.8,NA,28.9,33.7,33.7,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",7,"Number of species","Forest and seminatural areas Poplar grove",NA,NA,8,NA,8.1
"570","France-Bouché Bou-165","000_Guernion2014","France-Bouché","Bou-165","Observation",47.925,0.716,135,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.3,"H20",NA,2.6,NA,78,9.7,9.7,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,7.3
"571","France-Bouché Bou-166","000_Guernion2014","France-Bouché","Bou-166","Observation",47.556,1.382,114,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,4.9,"H20",NA,5.6,NA,85,4.7,4.7,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",3,"Number of species","Forest and seminatural areas Forest",NA,NA,6,NA,4.9
"572","France-Bouché Bou-166","000_Guernion2014","France-Bouché","Bou-166","Observation",47.556,1.382,114,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.7,"H20",NA,4.9,NA,61.8,23.8,9.5,NA,NA,NA,"Unknown","Unknown/Other",2,"Number of species","Artificial surfaces Verge",NA,NA,6,NA,7.7
"573","France-Bouché Bou-168","000_Guernion2014","France-Bouché","Bou-168","Observation",47.133,2.274,128,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.6,"H20",NA,1.8,NA,88.4,4.9,4.9,NA,NA,NA,"Unknown","Unknown/Other",3,"Number of species","Forest and seminatural areas Waste land",NA,NA,6,NA,7.6
"574","France-Bouché Bou-168","000_Guernion2014","France-Bouché","Bou-168","Observation",47.133,2.274,128,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,4,NA,86.4,4.8,4.8,NA,NA,NA,"Pasture","Herbaceous",2,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,7.8
"575","France-Bouché Bou-170","000_Guernion2014","France-Bouché","Bou-170","Observation",47.124,2.346,154,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.9,"H20",NA,2.7,NA,29.2,34,34,NA,NA,NA,"Unknown","Unknown/Other",4,"Number of species","Forest and seminatural areas Waste land",NA,NA,5,NA,7.9
"576","France-Bouché Bou-172","000_Guernion2014","France-Bouché","Bou-172","Observation",48.735,2.697,113,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,4.7,"H20",NA,3.1,NA,48.5,9.7,38.8,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",2,"Number of species","Forest and seminatural areas Forest",NA,NA,3,NA,4.7
"577","France-Bouché Bou-174","000_Guernion2014","France-Bouché","Bou-174","Observation",48.699,3.309,151,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.1,"H20",NA,3.9,NA,28.8,33.6,33.6,NA,NA,NA,"Secondary vegetation","Herbaceous",2,"Number of species","Forest and seminatural areas Grassland",NA,NA,10,NA,7.1
"578","France-Bouché Bou-174","000_Guernion2014","France-Bouché","Bou-174","Observation",48.699,3.309,151,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.1,"H20",NA,3.9,NA,38.4,38.4,19.2,NA,NA,NA,"Unknown","Unknown/Other",4,"Number of species","Forest and seminatural areas Waste land",NA,NA,10,NA,7.1
"579","France-Bouché Bou-174","000_Guernion2014","France-Bouché","Bou-174","Observation",48.699,3.309,151,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,5.9,"H20",NA,2.8,NA,77.8,9.7,9.7,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",2,"Number of species","Forest and seminatural areas Wood",NA,NA,10,NA,5.9
"580","France-Bouché Bou-177","000_Guernion2014","France-Bouché","Bou-177","Observation",48.735,3.597,180,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,5.8,"H20",NA,3.1,NA,38.8,38.8,19.4,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",6,"Number of species","Forest and seminatural areas Wood",NA,NA,7,NA,5.8
"581","France-Bouché Bou-178","000_Guernion2014","France-Bouché","Bou-178","Observation",48.735,4.263,185,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,6.5,NA,4.7,46.7,42.1,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",5,"Number of species","Forest and seminatural areas Wood",NA,NA,6,NA,7.8
"582","France-Bouché Bou-179","000_Guernion2014","France-Bouché","Bou-179","Observation",48.681,4.749,117,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,5.6,"H20",NA,4.1,NA,38.4,38.4,19.2,NA,NA,NA,"Pasture","Herbaceous",7,"Number of species","Agricultural areas Meadow",NA,NA,8,NA,5.6
"583","France-Bouché Bou-181","000_Guernion2014","France-Bouché","Bou-181","Observation",48.339,5.136,203,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.7,"H20",NA,5.9,NA,37.6,37.6,18.8,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,5,NA,7.7
"584","France-Bouché Bou-183","000_Guernion2014","France-Bouché","Bou-183","Observation",47.934,5.271,407,"France",10,1967,10,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,2.3,NA,29.3,34.2,34.2,NA,NA,NA,"Pasture","Herbaceous",3,"Number of species","Agricultural areas Meadow",NA,NA,4,NA,7.8
"585","France-Bouché Bou-184","000_Guernion2014","France-Bouché","Bou-184","Observation",47.628,2.76,151,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,6,"H20",NA,1.1,NA,89,4.9,4.9,NA,NA,NA,"Pasture","Herbaceous",6,"Number of species","Agricultural areas Meadow",NA,NA,7,NA,6
"586","France-Bouché Bou-185","000_Guernion2014","France-Bouché","Bou-185","Observation",47.466,2.931,143,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,6.2,"H20",NA,1.7,NA,63.9,24.6,9.8,NA,NA,NA,"Pasture","Herbaceous",8,"Number of species","Agricultural areas Meadow",NA,NA,9,NA,6.2
"587","France-Bouché Bou-186","000_Guernion2014","France-Bouché","Bou-186","Observation",47.304,2.949,215,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,2.1,NA,29.4,34.3,34.3,NA,NA,NA,"Unknown","Unknown/Other",4,"Number of species","Forest and seminatural areas Waste land",NA,NA,11,NA,7.8
"588","France-Bouché Bou-186","000_Guernion2014","France-Bouché","Bou-186","Observation",47.304,2.949,215,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,3.3,NA,29,33.8,33.8,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",5,"Number of species","Forest and seminatural areas Wood",NA,NA,11,NA,7.8
"589","France-Bouché Bou-188","000_Guernion2014","France-Bouché","Bou-188","Observation",47.277,2.985,176,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.6,"H20",NA,0.9,NA,89.1,5,5,NA,NA,NA,"Unknown","Unknown/Other",3,"Number of species","Forest and seminatural areas Waste land",NA,NA,11,NA,7.6
"590","France-Bouché Bou-188","000_Guernion2014","France-Bouché","Bou-188","Observation",47.277,2.985,176,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.5,"H20",NA,3.6,NA,62.7,24.1,9.6,NA,NA,NA,"Unknown","Wetland",7,"Number of species","Wetlands Riverbank",NA,NA,11,NA,7.5
"591","France-Bouché Bou-190","000_Guernion2014","France-Bouché","Bou-190","Observation",47.223,3.12,200,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,1.9,NA,78.5,9.8,9.8,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,11,NA,7.8
"592","France-Bouché Bou-190","000_Guernion2014","France-Bouché","Bou-190","Observation",47.223,3.12,200,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,4.8,"H20",NA,2.5,NA,63.4,24.4,9.8,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",5,"Number of species","Forest and seminatural areas Wood",NA,NA,11,NA,4.8
"593","France-Bouché Bou-192","000_Guernion2014","France-Bouché","Bou-192","Observation",47.178,3.318,258,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,5.2,"H20",NA,4.4,NA,38.2,38.2,19.1,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",4,"Number of species","Forest and seminatural areas Forest",NA,NA,5,NA,5.2
"594","France-Bouché Bou-193","000_Guernion2014","France-Bouché","Bou-193","Observation",47.16,3.39,246,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.7,"H20",NA,4.2,NA,28.8,33.5,33.5,NA,NA,NA,"Pasture","Herbaceous",6,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,7.7
"595","France-Bouché Bou-194","000_Guernion2014","France-Bouché","Bou-194","Observation",47.52,3.966,298,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,6.4,"H20",NA,3.5,NA,4.8,48.2,43.4,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,6.4
"596","France-Bouché Bou-195","000_Guernion2014","France-Bouché","Bou-195","Observation",47.475,3.912,244,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,5.2,"H20",NA,2.1,NA,88.1,4.9,4.9,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",4,"Number of species","Forest and seminatural areas Wood",NA,NA,5,NA,5.2
"597","France-Bouché Bou-202","000_Guernion2014","France-Bouché","Bou-202","Observation",46.962,4.29,286,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,6.2,"H20",NA,2.4,NA,87.9,4.9,4.9,NA,NA,NA,"Pasture","Herbaceous",6,"Number of species","Agricultural areas Meadow",NA,NA,7,NA,6.2
"598","France-Bouché Bou-203","000_Guernion2014","France-Bouché","Bou-203","Observation",46.962,4.686,448,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.3,"H20",NA,3.4,NA,29,33.8,33.8,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,7.3
"599","France-Bouché Bou-205","000_Guernion2014","France-Bouché","Bou-205","Observation",48.888,2.643,57,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.9,"H20",NA,2.3,NA,48.9,9.8,39.1,NA,NA,NA,"Unknown","Wetland",5,"Number of species","Wetlands Riverbank",NA,NA,5,NA,7.9
"600","France-Bouché Bou-207","000_Guernion2014","France-Bouché","Bou-207","Observation",48.897,2.706,105,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,5.8,"H20",NA,2.2,NA,63.6,24.4,9.8,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,5,NA,5.8
"601","France-Bouché Bou-208","000_Guernion2014","France-Bouché","Bou-208","Observation",48.978,2.697,85,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.9,"H20",NA,2.5,NA,39,39,19.5,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",3,"Number of species","Forest and seminatural areas Wood",NA,NA,9,NA,7.9
"602","France-Bouché Bou-208","000_Guernion2014","France-Bouché","Bou-208","Observation",48.978,2.697,85,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.2,"H20",NA,2.9,NA,38.8,38.8,19.4,NA,NA,NA,"Pasture","Herbaceous",4,"Number of species","Agricultural areas Meadow",NA,NA,9,NA,7.2
"603","France-Bouché Bou-210","000_Guernion2014","France-Bouché","Bou-210","Observation",47.727,1.022,97,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,7.8,"H20",NA,3.8,NA,48.1,9.6,38.5,NA,NA,NA,"Pasture","Herbaceous",6,"Number of species","Agricultural areas Meadow",NA,NA,7,NA,7.8
"604","France-Bouché Bou-211","000_Guernion2014","France-Bouché","Bou-211","Observation",47.547,0.86,105,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,6.6,"H20",NA,4.5,NA,4.8,47.8,43,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,6.6
"605","France-Bouché Bou-212","000_Guernion2014","France-Bouché","Bou-212","Observation",47.385,0.581,43,"France",11,1967,11,1967,"Hand sorting",300000,"cm3",1,5.9,"H20",NA,2,NA,63.7,24.5,9.8,NA,NA,NA,"Pasture","Herbaceous",5,"Number of species","Agricultural areas Meadow",NA,NA,6,NA,5.9
